O.[0, 0, 0, 0, 0, 0, 0, 0, 0, 0].-4
O.[2, 2, 0, 0, 0, 0, 0, 0, 0, 0].-2
O.[2, 2, 2, 2, 0, 0, 0, 0, 0, 0].0
O.[2, 2, 2, 2, 2, 2, 0, 0, 0, 0].2
O.[2, 2, 2, 2, 2, 2, 2, 2, 0, 0].4
O.[0, 0, 0, 0, 0, 0, 0, 0, 0, 0].-4
O.[2, 2, 0, 0, 0, 0, 0, 0, 0, 0].-2
O.[2, 2, 2, 2, 0, 0, 0, 0, 0, 0].0
O.[2, 2, 2, 2, 2, 2, 0, 0, 0, 0].2
O.[2, 2, 2, 2, 2, 2, 2, 2, 0, 0].4
O.[0, 0, 0, 0, 0, 0, 0, 0, 0, 0].-4
O.[2, 2, 0, 0, 0, 0, 0, 0, 0, 0].-2
O.[2, 2, 2, 2, 0, 0, 0, 0, 0, 0].0
O.[2, 2, 2, 2, 2, 2, 0, 0, 0, 0].2
O.[2, 2, 2, 2, 2, 2, 2, 2, 0, 0].4
O.[0, 0, 0, 0, 0, 0, 0, 0, 0, 0].-4
O.[2, 2, 0, 0, 0, 0, 0, 0, 0, 0].-2
O.[2, 2, 2, 2, 0, 0, 0, 0, 0, 0].0
O.[2, 2, 2, 2, 2, 2, 0, 0, 0, 0].2
O.[2, 2, 2, 2, 2, 2, 2, 2, 0, 0].4
O.[0, 0, 0, 0, 0, 0, 0, 0, 0, 0].-4
O.[2, 2, 0, 0, 0, 0, 0, 0, 0, 0].-2
O.[2, 2, 2, 2, 0, 0, 0, 0, 0, 0].0
O.[2, 2, 2, 2, 2, 2, 0, 0, 0, 0].2
O.[2, 2, 2, 2, 2, 2, 2, 2, 0, 0].4
O.[0, 0, 0, 0, 0, 0, 0, 0, 0, 0].-4
O.[2, 2, 0, 0, 0, 0, 0, 0, 0, 0].-2
O.[2, 2, 2, 2, 0, 0, 0, 0, 0, 0].0
O.[2, 2, 2, 2, 2, 2, 0, 0, 0, 0].2
O.[2, 2, 2, 2, 2, 2, 2, 2, 0, 0].4
O.[0, 0, 0, 0, 0, 0, 0, 0, 0, 0].-4
O.[2, 2, 0, 0, 0, 0, 0, 0, 0, 0].-2
O.[2, 2, 2, 2, 0, 0, 0, 0, 0, 0].0
O.[2, 2, 2, 2, 2, 2, 0, 0, 0, 0].2
O.[2, 2, 2, 2, 2, 2, 2, 2, 0, 0].4
O.[0, 0, 0, 0, 0, 0, 0, 0, 0, 0].-4
O.[2, 2, 0, 0, 0, 0, 0, 0, 0, 0].-2
O.[2, 2, 2, 2, 0, 0, 0, 0, 0, 0].0
O.[2, 2, 2, 2, 2, 2, 0, 0, 0, 0].2
O.[2, 2, 2, 2, 2, 2, 2, 2, 0, 0].4
O.[0, 0, 0, 0, 0, 0, 0, 0, 0, 0].-4
O.[2, 2, 0, 0, 0, 0, 0, 0, 0, 0].-2
O.[2, 2, 2, 2, 0, 0, 0, 0, 0, 0].0
O.[2, 2, 2, 2, 2, 2, 0, 0, 0, 0].2
O.[2, 2, 2, 2, 2, 2, 2, 2, 0, 0].4
O.[0, 0, 0, 0, 0, 0, 0, 0, 0, 0].-4
O.[2, 2, 0, 0, 0, 0, 0, 0, 0, 0].-2
O.[2, 2, 2, 2, 0, 0, 0, 0, 0, 0].0
O.[2, 2, 2, 2, 2, 2, 0, 0, 0, 0].2
O.[2, 2, 2, 2, 2, 2, 2, 2, 0, 0].4
O.[0, 0, 0, 0, 0, 0, 0, 0, 0, 0].-4
O.[2, 2, 0, 0, 0, 0, 0, 0, 0, 0].-2
O.[2, 2, 2, 2, 0, 0, 0, 0, 0, 0].0
